count,word,rank,cumulative_fraction
26732,eins,391,0.7153
26715,augen,392,0.7156
26479,runter,393,0.7159
26356,jungs,394,0.7162
26344,seiner,395,0.7164
26127,polizei,396,0.7167
26062,auto,397,0.717
25995,eure,398,0.7173
25958,vielen,399,0.7175
25905,stehen,400,0.7178
25733,weit,401,0.7181
25717,meinst,402,0.7184
25700,draußen,403,0.7186
25683,tür,404,0.7189
25677,dad,405,0.7192
25385,wurden,406,0.7194
24992,verrückt,407,0.7197
24963,kerl,408,0.72
24941,hätten,409,0.7202
24839,einzige,410,0.7205
24833,vorbei,411,0.7208
24548,treffen,412,0.721
24536,ganzen,413,0.7213
24421,hi,414,0.7215
24386,ahnung,415,0.7218
24377,teufel,416,0.722
24293,kenne,417,0.7223
24261,hinter,418,0.7226
24181,fast,419,0.7228
24087,name,420,0.7231
24085,arbeiten,421,0.7233
24082,gerne,422,0.7236
24013,dran,423,0.7238
23809,neue,424,0.7241
23673,ziemlich,425,0.7243
23596,ruhig,426,0.7246
23577,ging,427,0.7248
23565,sorgen,428,0.7251
23556,verstanden,429,0.7253
23504,tochter,430,0.7256
23432,toll,431,0.7258
23411,jemanden,432,0.7261
23348,sogar,433,0.7263
23328,überhaupt,434,0.7266
23276,he,435,0.7268
23219,spät,436,0.7271
23167,hört,437,0.7273
23141,frauen,438,0.7275
23136,hand,439,0.7278
23127,drin,440,0.728
23112,schau,441,0.7283
23056,nimm,442,0.7285
23006,seinem,443,0.7288
22979,mama,444,0.729
22946,lang,445,0.7292
22899,solltest,446,0.7295
22883,verloren,447,0.7297
22847,art,448,0.73
22811,sah,449,0.7302
22808,verstehen,450,0.7305
22802,große,451,0.7307
22792,darum,452,0.7309
22733,denkst,453,0.7312
22720,job,454,0.7314
22714,ruhe,455,0.7317
22695,braucht,456,0.7319
22618,woher,457,0.7321
22616,spielen,458,0.7324
22558,idee,459,0.7326
22456,suchen,460,0.7328
22392,je,461,0.7331
22374,kommst,462,0.7333
22368,liegt,463,0.7336
22293,grund,464,0.7338
22259,versuchen,465,0.734
22128,jahr,466,0.7343
22127,gekommen,467,0.7345
22015,wasser,468,0.7347
21982,gewesen,469,0.735
21948,endlich,470,0.7352
21916,schwester,471,0.7354
21913,keiner,472,0.7357
21865,wenig,473,0.7359
21854,tod,474,0.7361
21844,versucht,475,0.7363
21843,oben,476,0.7366
21748,letzten,477,0.7368
21694,geschichte,478,0.737
21584,erste,479,0.7373
21582,alter,480,0.7375
21578,kurz,481,0.7377
21519,bedeutet,482,0.7379
21495,niemals,483,0.7382
21383,ah,484,0.7384
21360,fünf,485,0.7386
21242,welche,486,0.7389
21240,hoch,487,0.7391
21171,etwa,488,0.7393
21145,erzählt,489,0.7395
21135,finde,490,0.7397
20995,land,491,0.74
20971,lasst,492,0.7402
20892,bringt,493,0.7404
20834,getötet,494,0.7406
20816,stunden,495,0.7408
20791,holen,496,0.7411
20741,schwer,497,0.7413
20687,lässt,498,0.7415
20653,verlassen,499,0.7417
20560,anders,500,0.7419
20510,hoffe,501,0.7422
20504,gestern,502,0.7424
20477,musste,503,0.7426
20416,wahrheit,504,0.7428
20265,vier,505,0.743
20142,sagst,506,0.7432
20135,mom,507,0.7434
19952,ort,508,0.7437
19932,läuft,509,0.7439
19888,zimmer,510,0.7441
19849,während,511,0.7443
19846,captain,512,0.7445
19841,deshalb,513,0.7447
19837,seite,514,0.7449
19810,würdest,515,0.7451
19796,glaubst,516,0.7453
19748,krieg,517,0.7455
19694,zeigen,518,0.7457
19663,gefallen,519,0.746
19649,spiel,520,0.7462
19603,bleibt,521,0.7464
19602,woche,522,0.7466
19595,unserer,523,0.7468
19593,nett,524,0.747
19513,denen,525,0.7472
19446,bestimmt,526,0.7474
19369,zwischen,527,0.7476
19361,wagen,528,0.7478
19313,kleinen,529,0.748
19298,the,530,0.7482
19252,guter,531,0.7484
19218,schatz,532,0.7486
19103,schuld,533,0.7488
19084,erzählen,534,0.749
19078,ersten,535,0.7492
19022,dies,536,0.7494
19020,spaß,537,0.7496
18999,tage,538,0.7498
18956,nehme,539,0.75
18931,manchmal,540,0.7502
18908,beste,541,0.7504
18785,gehst,542,0.7506
18641,chance,543,0.7508
18616,entschuldigung,544,0.751
18492,anderes,545,0.7512
18478,schlecht,546,0.7514
18439,wollten,547,0.7516
18414,äh,548,0.7518
18369,ernst,549,0.752
18334,sachen,550,0.7522
18316,eben,551,0.7524
18283,schlafen,552,0.7526
18282,gefällt,553,0.7528
18281,entschuldigen,554,0.753
18232,bett,555,0.7532
18163,wort,556,0.7533
18129,allen,557,0.7535
18095,gesicht,558,0.7537
18066,typ,559,0.7539
18005,unten,560,0.7541
17915,mensch,561,0.7543
17902,freundin,562,0.7545
17885,miss,563,0.7547
17819,kleiner,564,0.7549
17799,hättest,565,0.7551
17740,teil,566,0.7552
17679,tu,567,0.7554
17564,trinken,568,0.7556
17522,einige,569,0.7558
17436,wären,570,0.756
17387,bleib,571,0.7562
17358,beiden,572,0.7563
17286,herz,573,0.7565
17256,papa,574,0.7567
17230,stellen,575,0.7569
17156,wichtig,576,0.7571
17109,euer,577,0.7573
17101,blut,578,0.7574
17000,schule,579,0.7576
16976,bloß,580,0.7578
16940,john,581,0.758
16877,neuen,582,0.7582
16819,wiedersehen,583,0.7583
16817,unseren,584,0.7585
16738,glücklich,585,0.7587
16736,jack,586,0.7589
16630,frei,587,0.759
16615,ding,588,0.7592
16604,gedacht,589,0.7594
16603,tust,590,0.7596
16567,scheint,591,0.7597
16510,arsch,592,0.7599
16458,oft,593,0.7601
16447,wohin,594,0.7603
16420,alt,595,0.7604
16303,alte,596,0.7606
16296,waffe,597,0.7608
16271,sorge,598,0.7609
16261,fest,599,0.7611
16193,platz,600,0.7613
16182,eltern,601,0.7615
16094,kriegen,602,0.7616
16054,daß,603,0.7618
16039,wen,604,0.762
15984,möglich,605,0.7621
15969,drauf,606,0.7623
15947,falls,607,0.7625
15895,irgendwie,608,0.7626
15680,jungen,609,0.7628
15642,besten,610,0.763
15591,alten,611,0.7631
15580,nummer,612,0.7633
15579,wahrscheinlich,613,0.7635
15540,dollar,614,0.7636
15533,brauchst,615,0.7638
15525,ehrlich,616,0.764
15512,hierher,617,0.7641
15497,irgendwas,618,0.7643
15470,setzen,619,0.7645
15469,zuerst,620,0.7646
15452,falsch,621,0.7648
15417,reicht,622,0.7649
15400,menge,623,0.7651
15375,bereits,624,0.7653
15352,bring,625,0.7654
15339,jede,626,0.7656
15326,hölle,627,0.7658
15216,pass,628,0.7659
15213,außer,629,0.7661
15141,früher,630,0.7662
15130,rede,631,0.7664
15105,großen,632,0.7666
14989,hände,633,0.7667
14904,wollt,634,0.7669
14892,gegeben,635,0.767
14890,telefon,636,0.7672
14882,kennst,637,0.7673
14832,wartet,638,0.7675
14823,schiff,639,0.7677
14800,früh,640,0.7678
14747,sondern,641,0.768
14646,scheiß,642,0.7681
14643,tue,643,0.7683
14607,willkommen,644,0.7684
14597,kaum,645,0.7686
14589,doktor,646,0.7687
14463,lieben,647,0.7689
14412,fehler,648,0.769
14386,retten,649,0.7692
14369,stunde,650,0.7693
14363,meines,651,0.7695
14308,dürfen,652,0.7696
14308,sechs,653,0.7698
14259,plan,654,0.77
14196,klingt,655,0.7701
14109,hund,656,0.7702
14088,zehn,657,0.7704
14081,nächste,658,0.7705
14065,nächsten,659,0.7707
14044,langsam,660,0.7708
13996,gebe,661,0.771
13965,allem,662,0.7711
13924,film,663,0.7713
13806,ruf,664,0.7714
13776,wochen,665,0.7716
13747,geworden,666,0.7717
13727,schaffen,667,0.7719
